t,v_raw,v_filtered,u,x,y,dt
5.000000000000000278e-02,8.211660798423463595e-03,4.699979292062891195e-03,9.999999999999998890e-01,-2.400035720162524555e+01,-8.449535723971466794e+00,5.000000000000000278e-02
1.000000000000000194e-01,3.889569221183560715e-02,3.243695631965333448e-02,9.999999999999998890e-01,-2.399850732806419984e+01,-8.449541676087138242e+00,5.000000000000001665e-02
1.500000000000000222e-01,1.265096205548446595e-01,1.087415893868873551e-01,9.999999999999998890e-01,-2.399206356986699262e+01,-8.449501258231952860e+00,5.000000000000000278e-02
2.000000000000000111e-01,1.811626479365993359e-01,1.674840768448881134e-01,9.999999999999998890e-01,-2.398303753488793078e+01,-8.449633670818808895e+00,4.999999999999998890e-02
2.500000000000000000e-01,2.305984001535784644e-01,2.186776442909647844e-01,9.999999999999998890e-01,-2.397151211469873289e+01,-8.449465132739311102e+00,4.999999999999998890e-02
2.999999999999999889e-01,2.809144493406415810e-01,2.691594352682000757e-01,9.999999999999998890e-01,-2.395742061386166455e+01,-8.449526003050561229e+00,4.999999999999998890e-02
3.499999999999999778e-01,3.128068878335619196e-01,3.045629489179553229e-01,9.999999999999998890e-01,-2.394182257260875346e+01,-8.449368508761269325e+00,4.999999999999998890e-02
3.999999999999999667e-01,3.771725374776913609e-01,3.634583576666838844e-01,9.999999999999998890e-01,-2.392292086401136686e+01,-8.449617591761141355e+00,4.999999999999998890e-02
4.499999999999999556e-01,4.131394198785285909e-01,4.037558793036560290e-01,9.999999999999998890e-01,-2.390224162540634012e+01,-8.449083733064419732e+00,4.999999999999998890e-02
4.999999999999999445e-01,4.518059168910232848e-01,4.427304370753417651e-01,9.999999999999998890e-01,-2.387964916358162881e+01,-8.449066299058722862e+00,4.999999999999998890e-02
5.499999999999999334e-01,5.084975862399448987e-01,4.960757762945726124e-01,9.999999999999998890e-01,-2.385417977604580031e+01,-8.449450659452370616e+00,4.999999999999998890e-02
5.999999999999999778e-01,5.473575523490201711e-01,5.376716759821555947e-01,9.999999999999998890e-01,-2.382679021116044638e+01,-8.448900985816109710e+00,5.000000000000004441e-02
6.500000000000000222e-01,5.828317065700284738e-01,5.743020785685812868e-01,9.999999999999998890e-01,-2.379764743840461705e+01,-8.448823588917511174e+00,5.000000000000004441e-02
7.000000000000000666e-01,6.428387803108873699e-01,6.298938694528111171e-01,9.999999999999998890e-01,-2.376544571971740893e+01,-8.449269949951396796e+00,5.000000000000004441e-02
7.500000000000001110e-01,6.813560024661505787e-01,6.716360610699492195e-01,9.999999999999998890e-01,-2.373134784250042983e+01,-8.448567316103476443e+00,5.000000000000004441e-02
8.000000000000001554e-01,7.155834025442597834e-01,7.072828219301912078e-01,9.999999999999998890e-01,-2.369556425364108776e+01,-8.447811654015373151e+00,5.000000000000004441e-02
8.500000000000001998e-01,7.744874754876180933e-01,7.617941560334696716e-01,9.999999999999998890e-01,-2.365677253195011076e+01,-8.448595187957874231e+00,5.000000000000004441e-02
9.000000000000002442e-01,8.159930216016111348e-01,8.057561781943164414e-01,9.999999999999998890e-01,-2.361593773058176993e+01,-8.447351795999370694e+00,5.000000000000004441e-02
9.500000000000001776e-01,8.550307476020964081e-01,8.457239836006406053e-01,9.999999999999998890e-01,-2.357315196761449982e+01,-8.447287923258581799e+00,4.999999999999993339e-02
1.000000000000000222e+00,8.977095896150414367e-01,8.878907769401955807e-01,9.999999999999998890e-01,-2.352822995933805927e+01,-8.447702001595818189e+00,5.000000000000004441e-02
1.050000000000000266e+00,9.517773284703772152e-01,9.397107175369012744e-01,9.999999999999998890e-01,-2.348058910223574713e+01,-8.446158237434012506e+00,5.000000000000004441e-02
1.100000000000000311e+00,9.922027557832331368e-01,9.822882904152848704e-01,9.999999999999998890e-01,-2.343092066922303829e+01,-8.446541265850303404e+00,5.000000000000004441e-02
1.150000000000000355e+00,1.034102092790753602e+00,1.024315729631780636e+00,9.999999999999998890e-01,-2.337918203243093984e+01,-8.445753089924158630e+00,5.000000000000004441e-02
1.200000000000000400e+00,1.076804956668231616e+00,1.066891022269244260e+00,9.999999999999998890e-01,-2.332531946849307047e+01,-8.443970235778358813e+00,5.000000000000004441e-02
1.250000000000000444e+00,1.116866685185433639e+00,1.107427501724931540e+00,9.999999999999998890e-01,-2.326942892138776742e+01,-8.444122278824480077e+00,5.000000000000004441e-02
1.300000000000000488e+00,1.174504248285343389e+00,1.161835087342363293e+00,9.999999999999998890e-01,-2.321064160856179370e+01,-8.443123686913610371e+00,5.000000000000004441e-02
