t,v_raw,v_filtered,u,x,y,dt
5.000000000000000278e-02,8.143717776754934648e-03,4.641710581826693008e-03,9.999999999999998890e-01,-2.500036200972598266e+01,-8.499535164801859111e+00,5.000000000000000278e-02
1.000000000000000194e-01,3.875450817042913609e-02,3.231143296140612936e-02,9.999999999999998890e-01,-2.499851927666057705e+01,-8.499541983769013598e+00,5.000000000000001665e-02
1.500000000000000222e-01,1.264698481253723472e-01,1.086856206990488016e-01,9.999999999999998890e-01,-2.499207758009232094e+01,-8.499500116583305953e+00,5.000000000000000278e-02
2.000000000000000111e-01,1.807026282887662927e-01,1.671003725657011219e-01,9.999999999999998890e-01,-2.498307482098491761e+01,-8.499596884069362090e+00,4.999999999999998890e-02
2.500000000000000000e-01,2.311206787045355648e-01,2.190288047887179457e-01,9.999999999999998890e-01,-2.497152214817007376e+01,-8.499416494421002000e+00,4.999999999999998890e-02
2.999999999999999889e-01,2.803671607310518343e-01,2.687818417753785605e-01,9.999999999999998890e-01,-2.495745783029438059e+01,-8.499537089544970669e+00,4.999999999999998890e-02
3.499999999999999778e-01,3.132736589692842188e-01,3.048702401754466718e-01,9.999999999999998890e-01,-2.494183611169350101e+01,-8.499336152952391643e+00,4.999999999999998890e-02
3.999999999999999667e-01,3.775042404917383077e-01,3.637854498954950500e-01,9.999999999999998890e-01,-2.492291815498699492e+01,-8.499531229012388778e+00,4.999999999999998890e-02
4.499999999999999556e-01,4.168477152950524345e-01,4.068255479297843702e-01,9.999999999999998890e-01,-2.490204092980732042e+01,-8.499381815635683068e+00,4.999999999999998890e-02
4.999999999999999445e-01,4.468097370383573574e-01,4.392576992165045935e-01,9.999999999999998890e-01,-2.487971327782859277e+01,-8.499419017501574913e+00,4.999999999999998890e-02
5.499999999999999334e-01,5.093334753102700674e-01,4.960978708562501227e-01,9.999999999999998890e-01,-2.485420440709696521e+01,-8.499821798636322256e+00,4.999999999999998890e-02
5.999999999999999778e-01,5.419918096712691424e-01,5.333235643109922597e-01,9.999999999999998890e-01,-2.482709788495487047e+01,-8.499648517411610982e+00,5.000000000000004441e-02
6.500000000000000222e-01,5.889663471214833246e-01,5.784567829745923540e-01,9.999999999999998890e-01,-2.479761865210802796e+01,-8.499839069284645277e+00,5.000000000000004441e-02
7.000000000000000666e-01,6.411538184879219671e-01,6.293118781092138514e-01,9.999999999999998890e-01,-2.476551401203084879e+01,-8.498986833231020555e+00,5.000000000000004441e-02
7.500000000000001110e-01,6.710065317949623909e-01,6.631314289449632415e-01,9.999999999999998890e-01,-2.473195830365527570e+01,-8.499334315996163625e+00,5.000000000000004441e-02
8.000000000000001554e-01,7.255477192689787636e-01,7.137588048071460411e-01,9.999999999999998890e-01,-2.469563259909767083e+01,-8.499689634554941975e+00,5.000000000000004441e-02
8.500000000000001998e-01,7.719573026204427091e-01,7.609650262617158045e-01,9.999999999999998890e-01,-2.465698935740133990e+01,-8.498886867612124973e+00,5.000000000000004441e-02
9.000000000000002442e-01,8.055576885804970333e-01,7.971352226029054799e-01,9.999999999999998890e-01,-2.461668488045951975e+01,-8.498812594782458874e+00,5.000000000000004441e-02
9.500000000000001776e-01,8.565253158432998282e-01,8.453079761799413561e-01,9.999999999999998890e-01,-2.457380809798116417e+01,-8.499013700457840770e+00,4.999999999999993339e-02
1.000000000000000222e+00,9.086496764451189589e-01,8.966859746227774375e-01,9.999999999999998890e-01,-2.452832229943260600e+01,-8.498354782934956830e+00,5.000000000000004441e-02
1.050000000000000266e+00,9.297577168821916649e-01,9.235112716260562848e-01,9.999999999999998890e-01,-2.448183648418946134e+01,-8.497957467777712992e+00,5.000000000000004441e-02
1.100000000000000311e+00,9.945962300729179750e-01,9.811700156935839745e-01,9.999999999999998890e-01,-2.443202821717507334e+01,-8.498845025602419057e+00,5.000000000000004441e-02
1.150000000000000355e+00,1.036638358313579644e+00,1.026161741662827698e+00,9.999999999999998890e-01,-2.438014536698699786e+01,-8.497529931801421910e+00,5.000000000000004441e-02
1.200000000000000400e+00,1.077478755296863877e+00,1.067786223410911894e+00,9.999999999999998890e-01,-2.432622123752694421e+01,-8.497012583309800249e+00,5.000000000000004441e-02
1.250000000000000444e+00,1.105936044272569863e+00,1.098730473859179213e+00,9.999999999999998890e-01,-2.427092631268116207e+01,-8.497699726446684920e+00,5.000000000000004441e-02
1.300000000000000488e+00,1.178144629608959049e+00,1.163145233067883311e+00,9.999999999999998890e-01,-2.421192019088923075e+01,-8.497702676863237770e+00,5.000000000000004441e-02
1.350000000000000533e+00,1.205829560228465214e+00,1.197767532204294660e+00,9.999999999999998890e-01,-2.415158634961510131e+01,-8.496954454145395630e+00,5.000000000000004441e-02
